Level 1,Level 1 Description,Level 2,.,Level 3 ,Level 3 Description,Level 4,Level 4 Description,Full level 4 code,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,01,Cats,10101501,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,02,Dogs,10101502,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,04,Mink,10101504,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,05,Rats,10101505,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,06,Horses,10101506,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,07,Sheep,10101507,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,08,Goats,10101508,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,09,Asses,10101509,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,10,Mice,10101510,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,11,Swine,10101511,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,12,Rabbits,10101512,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,13,Guinea pigs,10101513,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,14,Primates,10101514,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,15,Armadillos,10101515,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,16,Cattle,10101516,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,15,Livestock,17,Camels,10101517,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,16,Birds & fowl,01,Live chickens,10101601,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,16,Birds & fowl,02,Live ducks,10101602,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,16,Birds & fowl,03,Live turkeys,10101603,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,16,Birds & fowl,04,Live geese,10101604,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,16,Birds & fowl,05,Live pheasants,10101605,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,17,Live fish,01,Live salmon,10101701,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,17,Live fish,02,Live trout,10101702,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,17,Live fish,03,Live talapia,10101703,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,17,Live fish,04,Live carp,10101704,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,17,Live fish,05,Live eels,10101705,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,01,Live shrimp,10101801,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,02,Live clams,10101802,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,03,Live mussels,10101803,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,04,Live oysters,10101804,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,05,Live crabs,10101805,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,06,Live abalone,10101806,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,07,Live octopi,10101807,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,18,Shellfish & aquatic invertebrates,08,Live squid,10101808,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,19,Insects,01,Butterflies,10101901,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,19,Insects,02,Beetles,10101902,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,19,Insects,03,Bees,10101903,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,19,Insects,04,Silkworms,10101904,,
10,Live Plant & Animal Material & Accessories & Supplies,10,Live animals,20,Wild animals,02,Live foxes,10102002,,
10,Live Plant & Animal Material & Accessories & Supplies,11,Domestic pet products,13,Domestic pet treatments & accessories & equipment,01,Pet toys,10111301,,
10,Live Plant & Animal Material & Accessories & Supplies,11,Domestic pet products,13,Domestic pet treatments & accessories & equipment,02,Pet grooming products,10111302,,
10,Live Plant & Animal Material & Accessories & Supplies,11,Domestic pet products,13,Domestic pet treatments & accessories & equipment,03,Pet litter or equipment for pet waste management,10111303,,
